Seedling_ID,ID2,Elev,Genotype,Micro,Needle_age,Prev_trmt,Trmt_2,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
25,a,high,h,uninoc,new,mod,heat,3,Jul/05/2025,11:32:44,282,550,832,0.661,1.95
25,b,high,h,uninoc,old,mod,heat,3,Jul/05/2025,11:32:54,112,307,419,0.732,2.741
26,a,low,k,uninoc,new,mod,heat,3,Jul/05/2025,11:33:06,288,637,925,0.688,2.211
26,b,low,k,uninoc,old,mod,heat,3,Jul/05/2025,11:33:15,157,455,612,0.743,2.898
27,a,high,i,uninoc,new,mod,heat,3,Jul/05/2025,11:33:40,191,501,692,0.723,2.623
27,b,high,i,uninoc,old,mod,heat,3,Jul/05/2025,11:33:51,277,874,1151,0.759,3.155
28,a,low,k,inoc,new,mod,heat,3,Jul/05/2025,11:34:01,111,272,383,0.71,2.45
28,b,low,k,inoc,old,mod,heat,3,Jul/05/2025,11:34:09,253,605,858,0.705,2.391
48,a,low,k,uninoc,new,control,heat,3,Jul/05/2025,11:34:19,275,380,655,0.58,1.381
48,b,low,k,uninoc,old,control,heat,3,Jul/05/2025,11:34:30,186,609,795,0.766,3.274
49,a,low,k,inoc,new,control,heat,3,Jul/05/2025,11:34:41,140,249,389,0.64,1.778
49,b,low,k,inoc,old,control,heat,3,Jul/05/2025,11:34:51,184,572,756,0.756,3.108
50,a,low,k,uninoc,new,control,heat,3,Jul/05/2025,11:35:02,169,427,596,0.716,2.526
50,b,low,k,uninoc,old,control,heat,3,Jul/05/2025,11:35:15,207,365,572,0.638,1.763
51,a,high,i,inoc,new,control,heat,3,Jul/05/2025,11:35:30,276,754,1030,0.732,2.731
51,b,high,i,inoc,old,control,heat,3,Jul/05/2025,11:35:39,172,643,815,0.788,3.738
52,a,low,k,uninoc,old,control,heat,3,Jul/05/2025,11:35:51,336,717,1053,0.68,2.133
52,b,low,k,uninoc,old,control,heat,3,Jul/05/2025,11:36:02,224,725,949,0.763,3.236
53,a,low,k,uninoc,new,control,heat,3,Jul/05/2025,11:36:25,115,125,240,0.52,1.086
53,b,low,k,uninoc,old,control,heat,3,Jul/05/2025,11:36:36,149,523,672,0.778,3.51
54,a,high,g,uninoc,new,control,heat,3,Jul/05/2025,11:36:47,102,196,298,0.657,1.921
54,b,high,g,uninoc,old,control,heat,3,Jul/05/2025,11:37:01,124,223,347,0.642,1.798
